duration,timestamp,x,value_old,value
361,2011-12-29 1:50,3,0.0037,0.0037
420,2011-12-29 1:57,3,0.0076,0.0076
1,2011-12-29 1:57,1,0.1558,0.1558
480,2011-12-29 2:05,3,0.0053,0.0053
1,2011-12-29 2:05,1,0.1102,0.1102
60,2011-12-29 2:06,3,0.0035,0.0035
240,2011-12-29 2:10,1,0.0747,0.0747
241,2011-12-29 2:14,3,0.0032,0.0032
120,2011-12-29 2:16,3,0.0155,0.0155
0,2011-12-29 2:16,1,0.0941,0.0941
60,2011-12-29 2:17,3,0.0028,0.0028
121,2011-12-29 2:19,3,0.0029,0.0029
0,2011-12-29 2:19,1,0.0789,0.0789
181,2011-12-29 2:22,1,0.0924,0.0924
60,2011-12-29 2:23,3,0.0029,0.0029
0,2011-12-29 2:23,1,0.0975,0.0975
180,2011-12-29 2:26,3,0.015,0.015
1,2011-12-29 2:26,1,0.081,0.081
240,2011-12-29 2:30,3,0.0068,0.0068
0,2011-12-29 2:30,1,0.1391,0.1391
60,2011-12-29 2:31,3,0.0444,0.0444
1923,2011-12-29 3:03,3,0.0524,0.0524
0,2011-12-29 3:03,1,0.0789,0.0789
60,2011-12-29 3:04,3,0.0096,0.0096
60,2011-12-29 3:05,3,0.0055,0.0055
0,2011-12-29 3:05,1,0.0906,0.0906
60,2011-12-29 3:06,3,0.0826,0.0826
1,2011-12-29 3:06,1,0.0975,0.0975
120,2011-12-29 3:08,1,0.1215,0.1215
0,2011-12-29 3:08,3,0.0255,0.0255
60,2011-12-29 3:09,1,0.0941,0.0941
0,2011-12-29 3:09,3,0.014,0.014
361,2011-12-29 3:15,3,0.0082,0.0082
0,2011-12-29 3:15,1,0.0975,0.0975
180,2011-12-29 3:18,1,0.0924,0.0924
60,2011-12-29 3:19,1,0.0747,0.0747
1082,2011-12-29 3:37,1,0.1072,0.1072
0,2011-12-29 3:37,3,0.0037,0.0037
120,2011-12-29 3:39,3,0.0042,0.0042
60,2011-12-29 3:40,3,0.0039,0.0039
0,2011-12-29 3:40,1,0.0747,0.0747
61,2011-12-29 3:41,1,0.0789,0.0789
0,2011-12-29 3:41,3,0.0082,0.0082
360,2011-12-29 3:47,1,0.0768,0.0768
0,2011-12-29 3:47,3,0.0031,0.0031
60,2011-12-29 3:48,3,0.0051,0.0051
61,2011-12-29 3:49,3,0.0028,0.0028
60,2011-12-29 3:50,1,0.0768,0.0768
180,2011-12-29 3:53,3,0.0029,0.0029
60,2011-12-29 3:54,3,0.0063,0.0063
120,2011-12-29 3:56,3,0.0066,0.0066
61,2011-12-29 3:57,3,0.0495,0.0495
0,2011-12-29 3:57,1,0.081,0.081
60,2011-12-29 3:58,3,0.018,0.018
601,2011-12-29 4:08,3,0.0031,0.0031
300,2011-12-29 4:13,1,0.0747,0.0747
0,2011-12-29 4:13,3,0.008,0.008
60,2011-12-29 4:14,3,0.0029,0.0029
181,2011-12-29 4:17,3,0.0039,0.0039
240,2011-12-29 4:21,3,0.0694,0.0694
0,2011-12-29 4:21,1,0.0747,0.0747
661,2011-12-29 4:32,1,0.0768,0.0768
0,2011-12-29 4:32,3,0.0454,0.0454
60,2011-12-29 4:33,3,0.0042,0.0042
181,2011-12-29 4:36,3,0.0055,0.0055
901,2011-12-29 4:51,3,0.0233,0.0233
540,2011-12-29 5:00,3,0.0494,0.0494
0,2011-12-29 5:00,1,0.0747,0.0747
61,2011-12-29 5:01,3,0.0032,0.0032
1141,2011-12-29 5:20,3,0.0512,0.0512
0,2011-12-29 5:20,1,0.081,0.081
541,2011-12-29 5:29,3,0.0113,0.0113
0,2011-12-29 5:29,1,0.0768,0.0768
541,2011-12-29 5:38,3,0.0194,0.0194
0,2011-12-29 5:38,1,0.0941,0.0941
1201,2011-12-29 5:58,3,0.0413,0.0413
1,2011-12-29 5:58,1,0.0789,0.0789
60,2011-12-29 5:59,3,0.0406,0.0406
120,2011-12-29 6:01,3,0.0034,0.0034
180,2011-12-29 6:04,3,0.0082,0.0082
0,2011-12-29 6:04,1,0.1215,0.1215
421,2011-12-29 6:11,3,0.0284,0.0284
0,2011-12-29 6:11,1,0.0975,0.0975
60,2011-12-29 6:12,3,0.013,0.013
0,2011-12-29 6:12,1,0.0924,0.0924
121,2011-12-29 6:14,3,0.0211,0.0211
0,2011-12-29 6:14,1,0.0768,0.0768
120,2011-12-29 6:16,3,0.0031,0.0031
1022,2011-12-29 6:33,1,0.1102,0.1102
0,2011-12-29 6:33,3,0.007,0.007
120,2011-12-29 6:35,3,0.0031,0.0031
301,2011-12-29 6:40,3,0.0029,0.0029
721,2011-12-29 6:52,3,0.0054,0.0054
0,2011-12-29 6:52,1,0.0747,0.0747
60,2011-12-29 6:53,1,0.083,0.083
0,2011-12-29 6:53,3,0.1048,0.1048
481,2011-12-29 7:02,3,0.0041,0.0041
661,2011-12-29 7:13,3,0.0033,0.0033
0,2011-12-29 7:13,1,0.1293,0.1293
60,2011-12-29 7:14,3,0.0029,0.0029
241,2011-12-29 7:18,3,0.0037,0.0037
180,2011-12-29 7:21,3,0.0113,0.0113
661,2011-12-29 7:32,3,0.0066,0.0066
