timestamp,value
2018-04-22 00:17:00,98
2018-04-22 00:47:00,84
2018-04-22 01:17:00,74
2018-04-22 01:47:00,64
2018-04-22 02:21:00,58
2018-04-22 02:51:00,54
2018-04-22 03:21:00,48
2018-04-22 03:56:00,46
2018-04-22 04:26:00,29
2018-04-22 04:56:00,19
2018-04-22 05:26:00,19
2018-04-22 05:56:00,20
2018-04-22 06:26:00,21
2018-04-22 06:56:00,21
2018-04-22 07:26:00,25
2018-04-22 07:56:00,32
2018-04-22 08:26:00,38
2018-04-22 08:56:00,44
2018-04-22 09:26:00,58
2018-04-22 09:56:00,84
2018-04-22 10:26:00,102
2018-04-22 10:56:00,133
2018-04-22 11:26:00,150
2018-04-22 11:56:00,175
2018-04-22 12:26:00,190
2018-04-22 12:56:00,214
2018-04-22 13:26:00,246
2018-04-22 14:01:00,256
2018-04-22 14:31:00,274
2018-04-22 15:01:00,293
2018-04-22 15:36:00,298
2018-04-22 16:06:00,298
2018-04-22 16:36:00,298
2018-04-22 17:06:00,293
2018-04-22 17:36:00,280
2018-04-22 18:06:00,272
2018-04-22 18:36:00,249
2018-04-22 19:06:00,239
2018-04-22 19:36:00,229
2018-04-22 20:06:00,222
2018-04-22 20:36:00,217
2018-04-22 21:06:00,208
2018-04-22 21:36:00,192
2018-04-22 22:06:00,166
2018-04-22 22:36:00,151
2018-04-22 23:06:00,134
2018-04-22 23:36:00,120
2018-04-23 00:16:00,99
2018-04-23 00:46:00,89
2018-04-23 01:16:00,79
2018-04-23 01:46:00,70
2018-04-23 02:16:00,63
2018-04-23 02:46:00,60
2018-04-23 03:16:00,56
2018-04-23 03:46:00,54
2018-04-23 04:16:00,44
2018-04-23 04:46:00,23
2018-04-23 05:16:00,24
2018-04-23 05:46:00,28
2018-04-23 06:16:00,29
2018-04-23 06:46:00,40
2018-04-23 07:16:00,52
2018-04-23 07:46:00,82
2018-04-23 08:16:00,119
2018-04-23 08:46:00,155
2018-04-23 09:16:00,203
2018-04-23 09:46:00,255
2018-04-23 10:16:00,301
2018-04-23 10:46:00,346
2018-04-23 11:16:00,392
2018-04-23 11:46:00,432
2018-04-23 12:16:00,442
2018-04-23 12:46:00,456
2018-04-23 13:16:00,466
2018-04-23 13:46:00,484
2018-04-23 14:16:00,493
2018-04-23 14:46:00,506
2018-04-23 15:16:00,508
2018-04-23 15:46:00,487
2018-04-23 16:16:00,461
2018-04-23 16:46:00,442
2018-04-23 17:16:00,415
2018-04-23 17:46:00,386
2018-04-23 18:16:00,355
2018-04-23 18:46:00,326
2018-04-23 19:16:00,274
2018-04-23 19:46:00,241
2018-04-23 20:16:00,226
2018-04-23 20:46:00,205
2018-04-23 21:16:00,192
2018-04-23 21:46:00,175
2018-04-23 22:16:00,155
2018-04-23 22:46:00,133
2018-04-23 23:16:00,119
2018-04-23 23:46:00,108
2018-04-24 00:16:00,98
2018-04-24 00:46:00,85
2018-04-24 01:16:00,79
2018-04-24 01:46:00,73
2018-04-24 02:16:00,64
2018-04-24 02:46:00,59
2018-04-24 03:16:00,56
2018-04-24 03:46:00,53
2018-04-24 04:16:00,45
2018-04-24 04:46:00,22
2018-04-24 05:16:00,24
2018-04-24 05:46:00,27
2018-04-24 06:16:00,32
2018-04-24 06:46:00,40
2018-04-24 07:16:00,54
2018-04-24 07:46:00,77
2018-04-24 08:16:00,110
2018-04-24 08:46:00,145
2018-04-24 09:16:00,199
2018-04-24 09:46:00,232
2018-04-24 10:16:00,269
2018-04-24 10:46:00,309
2018-04-24 11:16:00,351
2018-04-24 11:46:00,380
2018-04-24 12:16:00,383
2018-04-24 12:46:00,397
2018-04-24 13:16:00,410
2018-04-24 13:46:00,398
2018-04-24 14:16:00,413
2018-04-24 14:46:00,280
2018-04-24 15:16:00,264
2018-04-24 15:46:00,247
2018-04-24 16:16:00,228
2018-04-24 16:46:00,212
2018-04-24 17:16:00,191
2018-04-24 17:46:00,175
2018-04-24 18:16:00,161
2018-04-24 18:46:00,154
2018-04-24 19:16:00,140
2018-04-24 19:46:00,125
2018-04-24 20:16:00,112
2018-04-24 20:46:00,102
2018-04-24 21:16:00,93
2018-04-24 21:46:00,86
2018-04-24 22:16:00,72
2018-04-24 22:46:00,66
2018-04-24 23:16:00,61
2018-04-24 23:46:00,54
2018-04-25 00:16:00,50
2018-04-25 00:46:00,44
2018-04-25 01:16:00,42
2018-04-25 01:46:00,39
2018-04-25 02:16:00,37
2018-04-25 02:46:00,36
2018-04-25 03:16:00,34
2018-04-25 03:46:00,33
2018-04-25 04:16:00,28
2018-04-25 04:46:00,14
2018-04-25 05:16:00,16
2018-04-25 05:46:00,18
